player_id,full_name,height,weight,position,birth_date,source,notes
76003,Kareem Abdul-Jabbar,218,102,C,1947-04-16,manual,Lakers legend - 6x MVP
2544,LeBron James,206,113,F,1984-12-30,manual,Active - 4x MVP
201142,Kevin Durant,208,108,F,1988-09-29,manual,Active - 2x MVP
201935,James Harden,196,100,G,1989-08-26,manual,Active - 1x MVP
201939,Stephen Curry,191,83,G,1988-03-14,manual,Active - 2x MVP
1628983,Giannis Antetokounmpo,211,110,F,1994-12-06,manual,Active - 2x MVP
1627734,Joel Embiid,213,127,C,1994-03-16,manual,Active - 1x MVP
1629029,Luka Doncic,201,104,G,1999-02-28,manual,Active - Future MVP
1629008,Michael Porter Jr.,208,99,F,1998-06-29,manual,Active - Nuggets star
1627759,Jayson Tatum,203,95,F,1998-03-03,manual,Active - Celtics leader
1628369,Donovan Mitchell,191,98,G,1996-09-07,manual,Active - Cavaliers star
1627750,Ben Simmons,208,108,G,1996-07-20,manual,Active - Nets guard
1628389,Bam Adebayo,206,115,C,1997-07-18,manual,Active - Heat center
1629006,Trae Young,185,74,G,1998-09-19,manual,Active - Hawks leader
1627742,Jaylen Brown,198,101,F,1996-10-24,manual,Active - Celtics star
1627783,Jamal Murray,193,98,G,1997-02-23,manual,Active - Nuggets guard
1627749,De'Aaron Fox,191,83,G,1997-12-20,manual,Active - Kings guard
1627936,Alex Caruso,196,84,G,1994-02-28,manual,Active - Thunder guard
977,Kobe Bryant,198,96,G,1978-08-23,manual,Lakers legend - 5x champion
1717,Michael Jordan,198,98,G,1963-02-17,manual,Bulls legend - 6x champion
406,Shaquille O'Neal,216,147,C,1972-03-06,manual,Lakers legend - 4x champion
937,Tim Duncan,211,113,F,1976-04-25,manual,Spurs legend - 5x champion
2240,Kevin Garnett,211,109,F,1976-05-19,manual,Timberwolves legend - 1x MVP
708,Allen Iverson,183,75,G,1975-06-07,manual,76ers legend - 1x MVP
786,Steve Nash,191,82,G,1974-02-07,manual,Suns legend - 2x MVP
2738,Dirk Nowitzki,213,111,F,1978-06-19,manual,Mavericks legend - 1x MVP
1495,Ray Allen,196,93,G,1975-07-20,manual,Celtics/Heat legend - 3x champion
950,Jason Kidd,193,95,G,1973-03-23,manual,Mavericks legend - 1x champion
988,Dwight Howard,211,120,C,1985-12-08,manual,Orlando legend - 3x DPOY
2746,Vince Carter,198,100,G,1977-01-26,manual,Raptors legend - 8x All-Star
1718,Dikembe Mutombo,218,118,C,1966-06-25,manual,Hawks legend - 4x DPOY
567,Scottie Pippen,203,95,F,1965-09-25,manual,Bulls legend - 6x champion
215,Patrick Ewing,213,116,C,1962-08-05,manual,Knicks legend - 11x All-Star
252,Charles Barkley,198,114,F,1963-02-20,manual,Suns legend - 1x MVP
165,Hakeem Olajuwon,213,115,C,1963-01-21,manual,Rockets legend - 2x MVP
3,Karl Malone,206,113,F,1963-07-24,manual,Jazz legend - 2x MVP
4,John Stockton,185,79,G,1962-03-26,manual,Jazz legend - NBA assist leader
415,Magic Johnson,206,100,G,1959-08-14,manual,Lakers legend - 5x champion
1449,Larry Bird,206,100,F,1956-12-07,manual,Celtics legend - 3x champion
2521,Julius Erving,201,91,F,1950-02-22,manual,76ers legend - 1x MVP
1450,Isiah Thomas,185,82,G,1961-04-30,manual,Pistons legend - 2x champion
38,Clyde Drexler,201,95,G,1962-06-22,manual,Blazers legend - 1x champion
1143,David Robinson,216,107,C,1965-08-06,manual,Spurs legend - 1x MVP
1478,John Havlicek,196,92,F,1940-04-08,manual,Celtics legend - 8x champion
76007,Bill Russell,206,97,C,1934-02-12,manual,Celtics legend - 11x champion
78049,Wilt Chamberlain,216,125,C,1936-08-21,manual,Warriors legend - 4x MVP
76375,Jerry West,191,84,G,1938-05-28,manual,Lakers legend - NBA logo
76681,Oscar Robertson,196,93,G,1938-11-24,manual,Bucks legend - 1x MVP
77444,Elgin Baylor,196,102,F,1934-09-16,manual,Lakers legend - 11x All-Star
76481,Rick Barry,201,92,F,1944-03-28,manual,Warriors legend - 1x MVP
76021,Nate Archibald,185,68,G,1948-09-02,manual,Kings legend - 1x MVP
76681,Walt Frazier,193,86,G,1945-03-29,manual,Knicks legend - 2x champion
76208,Willis Reed,206,108,C,1942-06-25,manual,Knicks legend - 2x champion
77142,Dave Cowens,206,106,C,1948-10-25,manual,Celtics legend - 1x MVP
77506,Bob Pettit,206,92,F,1932-12-12,manual,Hawks legend - 2x MVP
76101,George Mikan,208,111,C,1924-06-18,manual,Lakers legend - 5x champion
