age,birth_date,data_source,first_name,from_year,full_name,height_cm,id,is_active,last_name,position,to_year,weight_kg
29,1996-05-04,api_cached,Jaylen,2018,Jaylen Adams,182,1629121,False,Adams,G,2020,102
29,1997-02-01,api_cached,Deng,2018,Deng Adel,200,1629061,False,Adel,F,2018,90
32,1993-06-05,api_cached,DeVaughn,2018,DeVaughn Akoon-Purcell,198,1629152,False,Akoon-Purcell,G-F,2018,90
30,1995-11-16,api_cached,Cliff,2015,Cliff Alexander,203,1626146,False,Alexander,F,2015,108
29,1996-10-21,api_cached,Kyle,2019,Kyle Alexander,208,1629734,False,Alexander,F-C,2019,97
22,2003-05-02,api_cached,Trey,2024,Trey Alexander,195,1641725,True,Alexander,G,2025,83
27,1998-07-16,api_cached,Ty-Shon,2020,Ty-Shon Alexander,190,1630234,False,Alexander,G,2020,88
28,1997-10-29,api_cached,Rawle,2018,Rawle Alkins,195,1628959,False,Alkins,G,2018,102
33,1993-01-15,api_cached,Kadeem,2017,Kadeem Allen,185,1628443,False,Allen,G,2019,90
26,2000-01-09,api_cached,Timmy,2023,Timmy Allen,198,1641851,False,Allen,F,2023,95
32,1993-11-19,api_cached,Justin,2015,Justin Anderson,195,1626147,False,Anderson,F-G,2021,104
27,1998-10-16,api_cached,Ike,2017,Ike Anigbogu,208,1628387,False,Anigbogu,C,2018,113
24,2001-08-27,api_cached,Alex,2025,Alex Antetokounmpo,203,1630828,True,Antetokounmpo,F,2025,97
28,1997-11-20,api_cached,Kostas,2018,Kostas Antetokounmpo,208,1628961,False,Antetokounmpo,F,2020,90
31,1994-03-26,api_cached,Ryan,2017,Ryan Arcidiacono,190,1627853,False,Arcidiacono,G,2023,88
24,2002-01-15,api_cached,Taran,2024,Taran Armstrong,195,1642379,False,Armstrong,G,2024,86
33,1993-01-12,api_cached,Jamel,2017,Jamel Artis,200,1628503,False,Artis,G,2017,96
25,2000-03-05,api_cached,Joel,2021,Joel Ayayi,193,1630555,False,Ayayi,G,2021,81
30,1995-08-30,api_cached,Dwayne,2017,Dwayne Bacon,198,1628407,False,Bacon,G-F,2020,100
24,2001-10-23,api_cached,Marcus,2024,Marcus Bagley,198,1630542,False,Bagley,F,2024,98
19,2006-08-13,api_cached,Ace,2025,Ace Bailey,205,1642846,True,Bailey,F,2025,90
