number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8029223848868687,2026-02-08 12:40:36.860397,2026-02-08 12:40:38.273552,0 days 00:00:01.413155,0.839103699283306,0.06578400101625226,0.292013481015245,7,7,825,2.5825368547074317e-07,0.0005039736653102388,0.7954277369533694,COMPLETE
1,0.8098244748633205,2026-02-08 12:40:38.312402,2026-02-08 12:40:40.553187,0 days 00:00:02.240785,0.8954263239065792,0.012772837979206031,0.1571200431233076,9,3,700,0.021658309437980024,0.041768425116329506,0.8040491469064933,COMPLETE
2,0.8401904996799557,2026-02-08 12:40:40.601459,2026-02-08 12:40:53.461987,0 days 00:00:12.860528,0.877972924051595,0.15309341914969365,0.013730740801341502,7,8,744,0.005949814847649641,0.004126159873467806,0.7300929821931861,COMPLETE
3,0.8456999571316997,2026-02-08 12:40:53.495497,2026-02-08 12:40:55.381074,0 days 00:00:01.885577,0.7507318693874832,0.6849381394067577,0.01679780154897091,7,2,194,0.6408266246892292,0.01732248792891396,0.9124368574094477,COMPLETE
4,0.848196595199925,2026-02-08 12:40:55.420113,2026-02-08 12:41:04.968898,0 days 00:00:09.548785,0.8675652189276755,0.724535257913544,0.014843284205200535,4,9,222,7.97371457368345e-08,9.736374045267666e-07,0.6294231912550353,COMPLETE
5,0.8293442324518907,2026-02-08 12:41:05.002731,2026-02-08 12:41:05.620803,0 days 00:00:00.618072,0.6523620572621099,0.8709654577752245,0.13471947058999467,8,10,522,0.01010835965293759,0.002943971439355344,0.9706305792767874,COMPLETE
6,0.8024053227160886,2026-02-08 12:41:05.644462,2026-02-08 12:41:13.583449,0 days 00:00:07.938987,0.679494391330376,0.5358571369805911,0.24543036106369592,9,10,166,0.6245976444529391,5.208051320866593e-08,0.6893545519545003,COMPLETE
7,0.8232786615694496,2026-02-08 12:41:13.605156,2026-02-08 12:41:15.040999,0 days 00:00:01.435843,0.9420020060704422,0.8002684713037808,0.11334001720761668,7,7,970,1.4972900453828456e-05,0.00046065097908312567,0.8215526688737891,COMPLETE
8,0.8361391516774426,2026-02-08 12:41:15.064101,2026-02-08 12:41:16.937807,0 days 00:00:01.873706,0.7498653192522899,0.5585954160792931,0.035131530312371394,9,5,305,0.024941603723640886,7.033506286609485e-06,0.792452937353874,COMPLETE
9,0.8345125052117284,2026-02-08 12:41:16.962540,2026-02-08 12:41:18.982163,0 days 00:00:02.019623,0.721555887146031,0.2214659950718586,0.031747432646324174,5,9,619,0.0006214701974064643,2.584528298741939e-07,0.8124396781691277,COMPLETE
10,0.8484247367710187,2026-02-08 12:41:19.006600,2026-02-08 12:41:19.981791,0 days 00:00:00.975191,0.9665285106182213,0.9819258468727315,0.010301494399744218,3,5,419,1.5161263222639378e-08,4.357597666391953e-06,0.6299204237994297,COMPLETE
11,0.8478104868781893,2026-02-08 12:41:20.030299,2026-02-08 12:41:20.523158,0 days 00:00:00.492859,0.9991243151740128,0.927130630476979,0.010188720177363313,3,5,409,1.136128595421182e-08,6.731410011077204e-06,0.6029274917860193,COMPLETE
12,0.8364321829360675,2026-02-08 12:41:20.541859,2026-02-08 12:41:26.888825,0 days 00:00:06.346966,0.9807148456628977,0.9658281969946382,0.022400817974518292,12,4,354,4.051517479538925e-07,4.292738181276138e-06,0.601792152267204,COMPLETE
13,0.8365296642766121,2026-02-08 12:41:26.912975,2026-02-08 12:41:27.728241,0 days 00:00:00.815266,0.919677690461946,0.7386161330171243,0.05942450505411689,3,1,502,2.8354297151063008e-08,5.897725046007631e-07,0.6724353934066045,COMPLETE
14,0.8483413491182635,2026-02-08 12:41:27.753444,2026-02-08 12:41:28.517764,0 days 00:00:00.764320,0.8090580404518947,0.3860202610414079,0.0111240725558901,5,6,247,4.537250087112659e-06,1.8174214149823644e-08,0.6647682772929051,COMPLETE
15,0.8431953913640928,2026-02-08 12:41:28.544075,2026-02-08 12:41:28.965060,0 days 00:00:00.420985,0.7877942636424005,0.3482086975450354,0.059222950706954394,5,6,108,3.856681466162567e-06,1.803323815460179e-08,0.7282771477419228,COMPLETE
16,0.8414606932919919,2026-02-08 12:41:28.987726,2026-02-08 12:41:29.947360,0 days 00:00:00.959634,0.811913203165844,0.3797907575097,0.02690111755108645,5,4,412,7.167781154472705e-06,0.677294818228998,0.6669234051428188,COMPLETE
17,0.8465990169652766,2026-02-08 12:41:29.973673,2026-02-08 12:41:30.856261,0 days 00:00:00.882588,0.6186349326243309,0.3922826986660469,0.010736279473414241,4,6,282,0.00010397925692155109,4.3076767543655545e-05,0.7467236502439181,COMPLETE
18,0.8351191210236716,2026-02-08 12:41:30.879980,2026-02-08 12:41:31.730891,0 days 00:00:00.850911,0.945234193296351,0.5839591287799033,0.04624841343506571,4,4,454,7.714589781426324e-07,1.1781521550122492e-07,0.6512976032758752,COMPLETE
19,0.8373459236944254,2026-02-08 12:41:31.751618,2026-02-08 12:41:33.541204,0 days 00:00:01.789586,0.8314465791232073,0.2832536952348955,0.020265565028437495,6,7,623,7.07970198627366e-05,2.0336477756113616e-08,0.8808148689111657,COMPLETE
